Product URL,Product name ,Product Price,Rating,No.Of Reviews,Product Description,Manufacturer,ASIN
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1675447758&sprefix=ba%2Caps%2C283&sr=8-1,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),249.00,4.3 out of 5 stars,"51,380","Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No. Outer Material: Polyester, Color: Black. Water Resistance: Water resistant , not Waterproof. Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters. Number of Wheels: 0, Number of compartments: 3. Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of. Mesh pockets on both sides to accommodate your sipper or bottle and umbrella. Mesh Padding on back & shoulder strap to provide comfort & better back support. ","BACKPACK INTERNATIONAL PVT LTD., Backpack International Pvt Ltd, Contact no +919769487901",B018EMBCUW
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1675447758&sprefix=ba%2Caps%2C283&sr=8-2,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),565,4.3 out of 5 stars,"9,233","30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.. Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.. Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.. Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks. 1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty. Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.. ","BACKPACK INTERNATIONAL PVT LTD., Backpack International Pvt Ltd, Contact no +919769487901",B018EMBCUW
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1675447758&sprefix=ba%2Caps%2C283&sr=8-2,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),565,4.3 out of 5 stars,"9,233","30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.. Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.. Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.. Made In India: Wesley Business Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks. 1 Year Warranty: The Wesley Business casual backpack comes with 1 year of warranty. Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.. ","BACKPACK INTERNATIONAL PVT LTD., Backpack International Pvt Ltd, Contact no +919769487901",B018EMBCUW
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675447758&sprefix=ba%2Caps%2C283&sr=8-6,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,889,4.3 out of 5 stars,"5,318","MATERIAL - We use Highest Quality of Artificial Leather which is Durable, Long Lasting and tested to ensure they don't peel off in just few months. The leather is also water resistant. Inner fabric lining ensured to have a soft touch feel. We use quality zips and accessories that have a long life.. Waterproof - With this unisex duffle bag, you can be rest assured that none of your belongings will be damaged by rain or accidental splashes. The interiors of this water-resistant travel duffle bag remain free from moisture even if you get caught in an unexpected shower.. Dimensions: 47 x 28 x 27 CM. Volume Capacity - 35 Litres. Huge Spacious Compartment. Design - This stylish yet utilitarian textured leatherette duffle bag can be used for corporate travel as well as to take to the gym. The Large Spacious Compartment is suitable for 3-4 days weekender or business trip, can be used as a carry-on flight bag as well.. Warranty - 100% Genuine Fur Jaden Men Bags, 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty against Manufacturing Defects. ","BACKPACK INTERNATIONAL PVT LTD., Backpack International Pvt Ltd, Contact no +919769487901",B018EMBCUW
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675447758&sprefix=ba%2Caps%2C283&sr=8-6,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,889,4.3 out of 5 stars,"5,318","MATERIAL - We use Highest Quality of Artificial Leather which is Durable, Long Lasting and tested to ensure they don't peel off in just few months. The leather is also water resistant. Inner fabric lining ensured to have a soft touch feel. We use quality zips and accessories that have a long life.. Waterproof - With this unisex duffle bag, you can be rest assured that none of your belongings will be damaged by rain or accidental splashes. The interiors of this water-resistant travel duffle bag remain free from moisture even if you get caught in an unexpected shower.. Dimensions: 47 x 28 x 27 CM. Volume Capacity - 35 Litres. Huge Spacious Compartment. Design - This stylish yet utilitarian textured leatherette duffle bag can be used for corporate travel as well as to take to the gym. The Large Spacious Compartment is suitable for 3-4 days weekender or business trip, can be used as a carry-on flight bag as well.. Warranty - 100% Genuine Fur Jaden Men Bags, 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty against Manufacturing Defects. ","BACKPACK INTERNATIONAL PVT LTD., Backpack International Pvt Ltd, Contact no +919769487901",B018EMBCUW
https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1675447777&sprefix=ba%2Caps%2C283&sr=8-17,Half Moon 35 ltrs (33 cms)backpack(Navy Laptop Bags_navy blue),249.00,4.3 out of 5 stars,"(14,913)","SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort. COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers, It comes with a 9 Month Warranty. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women. PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm. BACK SUPPORT: We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag & to help you lift heavy objects easily.. OTHER FEATURES: Strong and durable zippers, 9 Months Warranty, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.. ","BACKPACK INTERNATIONAL PVT LTD., Backpack International Pvt Ltd, Contact no +919769487901",B018EMBCUW
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1675447777&sprefix=ba%2Caps%2C283&sr=8-20,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,247",4.3 out of 5 stars,"(4,881)","Outer Material: Polyester, Color: Black. Water Resistance: Water resistant. Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2. Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,. Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks. ","BACKPACK INTERNATIONAL PVT LTD., Backpack International Pvt Ltd, Contact no +919769487901",B018EMBCUW
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1675447777&sprefix=ba%2Caps%2C283&sr=8-20,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,247",4.3 out of 5 stars,"(4,881)","Outer Material: Polyester, Color: Black. Water Resistance: Water resistant. Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2. Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,. Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks. ","BACKPACK INTERNATIONAL PVT LTD., Backpack International Pvt Ltd, Contact no +919769487901",B018EMBCUW
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1675447777&sprefix=ba%2Caps%2C283&sr=8-31,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",498,4.3 out of 5 stars,"(12,106)","Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex. Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps. Dimensions : 12.5 * 18 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks. Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket. Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry. ","BACKPACK INTERNATIONAL PVT LTD., Backpack International Pvt Ltd, Contact no +919769487901",B018EMBCUW
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1675447777&sprefix=ba%2Caps%2C283&sr=8-31,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",498,4.3 out of 5 stars,"(12,106)","Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex. Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps. Dimensions : 12.5 * 18 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks. Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket. Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry. ","BACKPACK INTERNATIONAL PVT LTD., Backpack International Pvt Ltd, Contact no +919769487901",B018EMBCUW
